Dungeon Name,Adventurer 1 Class,Adventurer 1 Level,Adventurer 2 Class,Adventurer 2 Level,Adventurer 3 Class,Adventurer 3 Level,Adventurer 4 Class,Adventurer 4 Level,Encounter 1,Encounter 2,Encounter 3,Encounter 4,Encounter 5,Encounter 6,Encounter 7,Encounter 8,Encounter 9,Encounter 10,Encounter 11,Encounter 12,Threat Level,# Encounters,# Encounters Beaten,Victory?,Defeated By,# of Fighter Adventurers,Total Level of Fighter Adventurers,Max Level of Fighter Adventurers,# of Ranger Adventurers,Total Level of Ranger Adventurers,Max Level of Ranger Adventurers,# of Mage Adventurers,Total Level of Mage Adventurers,Max Level of Mage Adventurers,# of Cleric Adventurers,Total Level of Cleric Adventurers,Max Level of Cleric Adventurers,# of Druid Adventurers,Total Level of Druid Adventurers,Max Level of Druid Adventurers,# of Rogue Adventurers,Total Level of Rogue Adventurers,Max Level of Rogue Adventurers,# of Goblins Encounters,# of Goblin Chieftain Encounters,# of Wolves Encounters,# of Orcs Encounters,# of Orc Warlord Encounters,# of Orc Shaman Encounters,# of Skeletons Encounters,# of Zombies Encounters,# of Ghosts Encounters,# of Basilisk Encounters,# of Lich Encounters,# of Dragon Encounters,# of Boulder Trap Encounters,# of Lever Puzzle Room Encounters,# of Riddle Door Encounters,# of Cursed Altar Encounters,# of Snake Pit Encounters,# of Poison Needle Trap Encounters
Undead Keep of Calantha,Fighter,5,Mage,6,Ranger,6,Druid,5,Skeletons,Skeletons,Ghosts,Boulder Trap,Zombies,Boulder Trap,Zombies,Boulder Trap,Lich,,,,5.75,9,9,1,,1,5,5,1,6,6,1,6,6,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,3,0,0,0,0,0
Abandoned Temple of Stonefell Peak,Rogue,4,Rogue,5,Ranger,3,Cleric,3,Ghosts,Skeletons,Riddle Door,Lever Puzzle Room,Riddle Door,Cursed Altar,Ghosts,,,,,,3.75,7,7,1,,0,0,0,1,3,3,0,0,0,1,3,3,0,0,0,2,9,5,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,1,0,0
Sunken Lair of Cheliax,Fighter,4,Rogue,4,Mage,4,Mage,4,Snake Pit,Snake Pit,Wolves,Dragon,,,,,,,,,4.0,4,3,0,Dragon,1,4,4,0,0,0,2,8,4,0,0,0,0,0,0,1,4,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
Night Goblin Cave of Riverfell,Cleric,3,Mage,4,Rogue,5,Druid,4,Ghosts,Goblins,Boulder Trap,Ghosts,Goblins,Boulder Trap,Goblins,Boulder Trap,Goblin Chieftain,,,,4.4750000000000005,9,6,0,Goblins,0,0,0,0,0,0,1,4,4,1,3,3,1,4,4,1,5,5,3,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
Timeless Temple of Galoron,Mage,3,Druid,3,Ranger,4,Cleric,2,Goblins,Lever Puzzle Room,Skeletons,Skeletons,Snake Pit,Poison Needle Trap,Snake Pit,,,,,,3.075,7,7,1,,0,0,0,1,4,4,1,3,3,1,2,2,1,3,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1
Old Cave of Almadris,Cleric,6,Ranger,4,Mage,5,Ranger,4,Wolves,Orcs,Orcs,Boulder Trap,Boulder Trap,Cursed Altar,Basilisk,,,,,,4.25,7,6,0,Basilisk,0,0,0,2,8,4,1,5,5,1,6,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0
Dread Cave of Galoron,Fighter,2,Mage,3,Rogue,2,Druid,4,Zombies,Cursed Altar,Skeletons,Basilisk,,,,,,,,,2.5,4,4,1,,1,2,2,0,0,0,1,3,3,0,0,0,1,4,4,1,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
Lost Dungeon of Sintharion,Mage,3,Ranger,1,Druid,2,Fighter,3,Poison Needle Trap,Skeletons,Riddle Door,Basilisk,,,,,,,,,2.5,4,4,1,,1,3,3,1,1,1,1,3,3,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
Sunken Den of Lakeshore,Ranger,2,Druid,2,Fighter,4,Cleric,3,Lever Puzzle Room,Zombies,Cursed Altar,Lich,,,,,,,,,3.0,4,4,1,,1,4,4,1,2,2,0,0,0,1,3,3,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
Undead Sepulcher of Stormwind,Fighter,4,Ranger,4,Rogue,5,Mage,4,Ghosts,Skeletons,Poison Needle Trap,Poison Needle Trap,Skeletons,Zombies,Ghosts,,,,,,3.75,7,7,1,,1,4,4,1,4,4,1,4,4,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,2
Abandoned Treasure of Lakeshore,Mage,4,Rogue,5,Mage,5,Druid,3,Dragon,Poison Needle Trap,Cursed Altar,Poison Needle Trap,,,,,,,,,3.75,4,4,1,,0,0,0,0,0,0,2,9,5,0,0,0,1,3,3,1,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Nightmare Cave of Limeneth,Rogue,7,Druid,5,Ranger,5,Cleric,4,Zombies,Skeletons,Lever Puzzle Room,Riddle Door,Skeletons,Snake Pit,Dragon,,,,,,5.25,7,6,0,Dragon,0,0,0,1,5,5,0,0,0,1,4,4,1,5,5,1,7,7,0,0,0,0,0,0,2,1,0,0,0,1,0,1,1,0,1,0
Dread Den of Calantha,Mage,4,Cleric,3,Rogue,5,Fighter,3,Riddle Door,Poison Needle Trap,Goblins,Snake Pit,Dragon,,,,,,,,4.075,5,4,0,Dragon,1,3,3,0,0,0,1,4,4,1,3,3,0,0,0,1,5,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Timeless Temple of Almadris,Mage,2,Rogue,5,Druid,3,Cleric,4,Skeletons,Riddle Door,Ghosts,Boulder Trap,Poison Needle Trap,Snake Pit,,,,,,,3.0,6,6,1,,0,0,0,0,0,0,1,2,2,1,4,4,1,3,3,1,5,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1
Orc City of Stormwind,Mage,3,Fighter,4,Rogue,4,Ranger,5,Poison Needle Trap,Poison Needle Trap,Poison Needle Trap,Orcs,Wolves,Orcs,Orcs,Orcs,Orc Shaman,,,,4.75,9,8,0,Orc Shaman,1,4,4,1,5,5,1,3,3,0,0,0,0,0,0,1,4,4,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Orc Camp of Galoron,Cleric,5,Fighter,5,Rogue,5,Druid,5,Orcs,Wolves,Orc Shaman,Snake Pit,Snake Pit,Wolves,Orc Warlord,,,,,,4.75,7,7,1,,1,5,5,0,0,0,0,0,0,1,5,5,1,5,5,1,5,5,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
Abandoned Dungeon of Icemarch,Mage,7,Rogue,5,Rogue,5,Cleric,5,Wolves,Snake Pit,Snake Pit,Zombies,Boulder Trap,Skeletons,Ghosts,Riddle Door,Lever Puzzle Room,Poison Needle Trap,,,5.25,10,6,0,Ghosts,0,0,0,0,0,0,1,7,7,1,5,5,0,0,0,2,10,5,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,2,1
Dread Tomb of Khaz-Gorond,Ranger,5,Mage,3,Fighter,4,Druid,4,Boulder Trap,Boulder Trap,Zombies,Poison Needle Trap,Skeletons,Lich,,,,,,,4.0,6,6,1,,1,4,4,1,5,5,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,1
Night Goblin Tower of Limeneth,Ranger,3,Druid,5,Fighter,3,Ranger,4,Poison Needle Trap,Goblins,Poison Needle Trap,Goblins,Goblins,Goblins,Poison Needle Trap,Ghosts,Goblin Chieftain,,,,4.05,9,9,1,,1,3,3,2,7,4,0,0,0,0,0,0,1,5,5,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Old Lair of Stormwind,Druid,2,Cleric,2,Rogue,3,Ranger,2,Snake Pit,Goblins,Wolves,Basilisk,,,,,,,,,2.575,4,4,1,,0,0,0,1,2,2,0,0,0,1,2,2,1,2,2,1,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Abandoned Treasure of Stormwind,Cleric,6,Fighter,6,Druid,6,Rogue,6,Riddle Door,Zombies,Riddle Door,Cursed Altar,Wolves,Snake Pit,Skeletons,Cursed Altar,Wolves,Snake Pit,,,5.25,10,10,1,,1,6,6,0,0,0,0,0,0,1,6,6,1,6,6,1,6,6,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,2,2,0
Forgotten Dungeon of Galoron,Ranger,2,Mage,2,Rogue,1,Fighter,2,Lever Puzzle Room,Skeletons,Snake Pit,Cursed Altar,,,,,,,,,1.75,4,4,1,,1,2,2,1,2,2,1,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
Infernal Den of Stonefell Peak,Fighter,4,Rogue,5,Mage,4,Fighter,4,Skeletons,Poison Needle Trap,Skeletons,Lever Puzzle Room,Zombies,Lich,,,,,,,4.0,6,6,1,,2,8,4,0,0,0,1,4,4,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1
Infernal Tomb of Darkflight Pass,Mage,4,Fighter,4,Ranger,4,Cleric,2,Zombies,Cursed Altar,Snake Pit,Skeletons,Lich,,,,,,,,3.5,5,4,0,Lich,1,4,4,1,4,4,1,4,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
Orc Camp of Sintharion,Mage,7,Cleric,5,Rogue,7,Druid,7,Poison Needle Trap,Wolves,Wolves,Poison Needle Trap,Poison Needle Trap,Orcs,Orcs,Orcs,Orcs,Poison Needle Trap,Wolves,Orcs,6.5,12,12,1,,0,0,0,0,0,0,1,7,7,1,5,5,1,7,7,1,7,7,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Undead Sepulcher of Galoron,Mage,4,Cleric,4,Fighter,4,Cleric,4,Ghosts,Ghosts,Ghosts,Boulder Trap,Boulder Trap,Ghosts,Ghosts,,,,,,4.5,7,7,1,,1,4,4,0,0,0,1,4,4,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0
Timeless Treasure of Icemarch,Druid,3,Ranger,4,Fighter,4,Druid,4,Snake Pit,Wolves,Wolves,Lever Puzzle Room,Zombies,Lever Puzzle Room,Skeletons,,,,,,3.75,7,7,1,,1,4,4,1,4,4,0,0,0,0,0,0,2,7,4,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0
Sunken Den of Stormwind,Ranger,4,Cleric,4,Cleric,4,Druid,4,Lever Puzzle Room,Skeletons,Skeletons,Boulder Trap,Snake Pit,Skeletons,Lich,,,,,,4.5,7,7,1,,0,0,0,1,4,4,0,0,0,2,8,4,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,0,0,1,0
Ancient Cave of Icemarch,Fighter,3,Mage,2,Rogue,4,Ranger,2,Cursed Altar,Skeletons,Skeletons,Riddle Door,Lich,,,,,,,,3.5,5,5,1,,1,3,3,1,2,2,1,2,2,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0
Abandoned Dungeon of Lakeshore,Mage,6,Rogue,4,Cleric,5,Rogue,4,Poison Needle Trap,Wolves,Wolves,Riddle Door,Boulder Trap,Riddle Door,Zombies,Riddle Door,,,,,4.25,8,8,1,,0,0,0,0,0,0,1,6,6,1,5,5,0,0,0,2,8,4,0,0,2,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1
Undead Ziggurat of Lemarchand,Fighter,6,Fighter,6,Cleric,6,Druid,6,Zombies,Skeletons,Skeletons,Zombies,Poison Needle Trap,Poison Needle Trap,Poison Needle Trap,Zombies,Ghosts,Poison Needle Trap,Zombies,Skeletons,6.0,12,11,0,Skeletons,2,12,6,0,0,0,0,0,0,1,6,6,1,6,6,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,4
Old Cave of Stonefell Peak,Mage,4,Mage,6,Druid,5,Ranger,4,Wolves,Lever Puzzle Room,Boulder Trap,Cursed Altar,Dragon,,,,,,,,4.5,5,5,1,,0,0,0,1,4,4,2,10,6,0,0,0,1,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Infernal Maw of Sintharion,Cleric,3,Mage,3,Ranger,2,Rogue,5,Poison Needle Trap,Riddle Door,Zombies,Dragon,,,,,,,,,3.75,4,4,1,,0,0,0,1,2,2,1,3,3,1,3,3,0,0,0,1,5,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
Ancient Cave of Almadris,Cleric,4,Druid,5,Druid,4,Fighter,5,Orcs,Riddle Door,Wolves,Dragon,,,,,,,,,4.0,4,4,1,,1,5,5,0,0,0,0,0,0,1,4,4,2,9,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Timeless Treasure of Khaz-Gorond,Druid,4,Ranger,4,Cleric,5,Druid,3,Riddle Door,Poison Needle Trap,Zombies,Ghosts,Skeletons,Boulder Trap,Snake Pit,,,,,,3.5,7,5,0,Boulder Trap,0,0,0,1,4,4,0,0,0,1,5,5,2,7,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
Mountain Goblin Tunnels of Almadris,Fighter,4,Rogue,7,Druid,5,Druid,5,Wolves,Goblins,Goblins,Boulder Trap,Boulder Trap,Goblins,Boulder Trap,Goblins,Goblin Chieftain,,,,4.050000000000001,9,8,0,Goblin Chieftain,1,4,4,0,0,0,0,0,0,0,0,0,2,10,5,1,7,7,4,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Lost Temple of Stonefell Peak,Rogue,3,Fighter,3,Cleric,3,Druid,4,Ghosts,Lever Puzzle Room,Cursed Altar,Basilisk,Lever Puzzle Room,,,,,,,,3.25,5,5,1,,1,3,3,0,0,0,0,0,0,1,3,3,1,4,4,1,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0
Lost Temple of Limeneth,Mage,4,Mage,3,Fighter,3,Mage,4,Poison Needle Trap,Boulder Trap,Riddle Door,Wolves,Poison Needle Trap,Boulder Trap,,,,,,,3.0,6,6,1,,1,3,3,0,0,0,3,11,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2
Lost Temple of Riverfell,Cleric,2,Mage,3,Rogue,3,Fighter,3,Poison Needle Trap,Snake Pit,Poison Needle Trap,Riddle Door,Zombies,Zombies,,,,,,,2.75,6,6,1,,1,3,3,0,0,0,1,3,3,1,2,2,0,0,0,1,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2
Ancient Den of Icemarch,Mage,4,Ranger,2,Cleric,2,Fighter,2,Zombies,Poison Needle Trap,Snake Pit,Lich,,,,,,,,,3.0,4,4,1,,1,2,2,1,2,2,1,4,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
Timeless Treasure of Limeneth,Fighter,3,Fighter,3,Druid,3,Ranger,4,Riddle Door,Boulder Trap,Skeletons,Zombies,Boulder Trap,Snake Pit,Riddle Door,,,,,,3.25,7,6,0,Riddle Door,2,6,3,1,4,4,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,1,0
Goblin Fort of Riverfell,Druid,2,Cleric,2,Druid,1,Rogue,3,Goblins,Poison Needle Trap,Poison Needle Trap,Goblins,Goblins,Goblins,,,,,,,2.05,6,4,0,Goblins,0,0,0,0,0,0,0,0,0,1,2,2,2,3,2,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Orc Citadel of Lakeshore,Cleric,4,Druid,5,Mage,4,Fighter,6,Snake Pit,Orcs,Snake Pit,Orcs,Orcs,Wolves,Snake Pit,Orcs,Orcs,Orc Shaman,,,5.25,10,10,1,,1,6,6,0,0,0,1,4,4,1,4,4,1,5,5,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,3,0
Forgotten Treasure of Calantha,Rogue,3,Druid,3,Druid,5,Cleric,2,Snake Pit,Poison Needle Trap,Boulder Trap,Goblins,Skeletons,Ghosts,Cursed Altar,,,,,,3.325,7,7,1,,0,0,0,0,0,0,0,0,0,1,2,2,2,8,5,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1
Dread Cave of Lakeshore,Fighter,5,Fighter,5,Cleric,4,Ranger,3,Boulder Trap,Lever Puzzle Room,Zombies,Skeletons,Lever Puzzle Room,Dragon,,,,,,,4.75,6,6,1,,2,10,5,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0
Undead Mausoleum of Icemarch,Fighter,3,Rogue,4,Rogue,3,Ranger,3,Boulder Trap,Ghosts,Boulder Trap,Skeletons,Zombies,Zombies,,,,,,,3.0,6,4,0,Zombies,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,2,7,4,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,0,0
Sunken Den of Limeneth,Mage,4,Fighter,4,Rogue,3,Cleric,3,Lever Puzzle Room,Boulder Trap,Goblins,Dragon,,,,,,,,,3.575,4,4,1,,1,4,4,0,0,0,1,4,4,1,3,3,0,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Undead Sepulcher of Lakeshore,Ranger,3,Ranger,2,Cleric,3,Cleric,4,Zombies,Boulder Trap,Zombies,Boulder Trap,Zombies,Zombies,,,,,,,2.75,6,4,0,Zombies,0,0,0,2,5,3,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
Nightmare Den of Almadris,Fighter,2,Rogue,3,Druid,4,Cleric,3,Boulder Trap,Skeletons,Boulder Trap,Zombies,Basilisk,,,,,,,,3.0,5,5,1,,1,2,2,0,0,0,0,0,0,1,3,3,1,4,4,1,3,3,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0
Orc Tower of Lemarchand,Rogue,7,Rogue,7,Cleric,6,Mage,6,Orc Shaman,Snake Pit,Snake Pit,Orc Shaman,Orcs,Orcs,Orc Shaman,Snake Pit,Orcs,Orc Warlord,,,6.25,10,7,0,Snake Pit,0,0,0,0,0,0,1,6,6,1,6,6,0,0,0,2,14,7,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,3,0
Undead Sepulcher of Darkflight Pass,Mage,2,Fighter,1,Cleric,2,Druid,2,Skeletons,Poison Needle Trap,Skeletons,Zombies,,,,,,,,,1.75,4,3,0,Zombies,1,1,1,0,0,0,1,2,2,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1
Nightmare Maw of Almadris,Fighter,3,Mage,3,Ranger,3,Ranger,2,Lever Puzzle Room,Goblins,Dragon,,,,,,,,,,3.075,3,3,1,,1,3,3,2,5,3,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Forgotten Treasure of Azmar,Rogue,4,Cleric,2,Druid,3,Druid,3,Skeletons,Ghosts,Lever Puzzle Room,Lever Puzzle Room,Boulder Trap,Ghosts,Riddle Door,,,,,,3.75,7,5,0,Ghosts,0,0,0,0,0,0,0,0,0,1,2,2,2,6,3,1,4,4,0,0,0,0,0,0,1,0,2,0,0,0,1,2,1,0,0,0
Abandoned Treasure of Cheliax,Mage,5,Druid,3,Rogue,4,Ranger,4,Ghosts,Boulder Trap,Riddle Door,Poison Needle Trap,Skeletons,Zombies,Poison Needle Trap,,,,,,3.5,7,7,1,,0,0,0,1,4,4,1,5,5,0,0,0,1,3,3,1,4,4,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,2
Nightmare Den of Almadris,Druid,2,Mage,2,Rogue,3,Fighter,2,Snake Pit,Riddle Door,Orcs,Basilisk,,,,,,,,,2.5,4,4,1,,1,2,2,0,0,0,1,2,2,0,0,0,1,2,2,1,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Sunken Maw of Sintharion,Fighter,3,Fighter,5,Druid,3,Ranger,5,Wolves,Snake Pit,Orcs,Lever Puzzle Room,Wolves,Basilisk,,,,,,,4.0,6,6,1,,2,8,5,1,5,5,0,0,0,0,0,0,1,3,3,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Sunken Cave of Lemarchand,Fighter,4,Rogue,4,Mage,3,Druid,3,Boulder Trap,Boulder Trap,Orcs,Cursed Altar,Basilisk,,,,,,,,3.0,5,5,1,,1,4,4,0,0,0,1,3,3,0,0,0,1,3,3,1,4,4,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0
Sunken Cave of Lakeshore,Rogue,3,Druid,2,Druid,2,Cleric,2,Boulder Trap,Goblins,Lever Puzzle Room,Goblins,Basilisk,,,,,,,,2.65,5,3,0,Goblins,0,0,0,0,0,0,0,0,0,1,2,2,2,4,2,1,3,3,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Nightmare Lair of Icemarch,Druid,4,Fighter,4,Rogue,4,Druid,3,Lever Puzzle Room,Zombies,Cursed Altar,Lever Puzzle Room,Zombies,Basilisk,,,,,,,3.5,6,5,0,Basilisk,1,4,4,0,0,0,0,0,0,0,0,0,2,7,4,1,4,4,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0
Undead Keep of Azmar,Cleric,4,Druid,3,Ranger,4,Ranger,3,Skeletons,Zombies,Cursed Altar,Skeletons,Cursed Altar,Lich,,,,,,,4.0,6,6,1,,0,0,0,2,7,4,0,0,0,1,4,4,1,3,3,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,0,0
Sunken Cave of Icemarch,Rogue,6,Fighter,4,Ranger,6,Druid,6,Cursed Altar,Riddle Door,Zombies,Cursed Altar,Zombies,Skeletons,Lich,,,,,,4.5,7,6,0,Lich,1,4,4,1,6,6,0,0,0,0,0,0,1,6,6,1,6,6,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0
Old Cave of Darkflight Pass,Rogue,4,Fighter,4,Druid,2,Druid,3,Poison Needle Trap,Zombies,Lever Puzzle Room,Lich,,,,,,,,,3.0,4,3,0,Lich,1,4,4,0,0,0,0,0,0,0,0,0,2,5,3,1,4,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
Ancient Lair of Azmar,Druid,4,Mage,3,Rogue,6,Mage,3,Goblins,Poison Needle Trap,Riddle Door,Dragon,,,,,,,,,3.575,4,3,0,Dragon,0,0,0,0,0,0,2,6,3,0,0,0,1,4,4,1,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Nightmare Maw of Stonefell Peak,Ranger,3,Druid,2,Mage,1,Druid,1,Orcs,Wolves,Cursed Altar,Basilisk,,,,,,,,,2.75,4,2,0,Cursed Altar,0,0,0,1,3,3,1,1,1,0,0,0,2,3,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Abandoned Treasure of Sintharion,Rogue,3,Mage,2,Cleric,2,Rogue,4,Lever Puzzle Room,Riddle Door,Wolves,Lever Puzzle Room,Riddle Door,,,,,,,,2.5,5,4,0,Riddle Door,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,2,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Goblin Cave of Galoron,Druid,2,Fighter,1,Cleric,1,Ranger,2,Poison Needle Trap,Goblins,Goblin Chieftain,,,,,,,,,,1.325,3,3,1,,1,1,1,1,2,2,0,0,0,1,1,1,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Undead Pyramid of Cheliax,Mage,4,Mage,4,Ranger,5,Fighter,4,Cursed Altar,Zombies,Skeletons,Ghosts,Skeletons,Cursed Altar,Ghosts,,,,,,3.75,7,7,1,,1,4,4,1,5,5,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,2,0,0
Orc Warcamp of Limeneth,Fighter,7,Mage,5,Rogue,7,Cleric,6,Cursed Altar,Cursed Altar,Orcs,Wolves,Orcs,Orcs,Cursed Altar,Orcs,Wolves,Orc Shaman,,,5.5,10,10,1,,1,7,7,0,0,0,1,5,5,1,6,6,0,0,0,1,7,7,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0
Forgotten Dungeon of Icemarch,Ranger,4,Mage,3,Mage,3,Fighter,4,Poison Needle Trap,Skeletons,Poison Needle Trap,Lever Puzzle Room,Orcs,Ghosts,Wolves,,,,,,3.75,7,5,0,Ghosts,1,4,4,1,4,4,2,6,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2
Timeless Treasure of Almadris,Cleric,2,Fighter,3,Rogue,4,Rogue,2,Zombies,Lever Puzzle Room,Poison Needle Trap,Poison Needle Trap,Boulder Trap,Lever Puzzle Room,,,,,,,2.75,6,6,1,,1,3,3,0,0,0,0,0,0,1,2,2,0,0,0,2,6,4,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2
Sunken Tomb of Stormwind,Fighter,4,Fighter,3,Druid,2,Druid,3,Zombies,Poison Needle Trap,Lich,,,,,,,,,,2.5,3,2,0,Lich,2,7,4,0,0,0,0,0,0,0,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Nightmare Den of Cheliax,Druid,3,Mage,4,Rogue,4,Cleric,4,Cursed Altar,Cursed Altar,Skeletons,Skeletons,Zombies,Lich,,,,,,,4.0,6,6,1,,0,0,0,0,0,0,1,4,4,1,4,4,1,3,3,1,4,4,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,0,0
Ancient Lair of Galoron,Cleric,3,Cleric,2,Druid,2,Fighter,2,Skeletons,Snake Pit,Lich,,,,,,,,,,2.5,3,3,1,,1,2,2,0,0,0,0,0,0,2,5,3,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Undead Keep of Limeneth,Rogue,3,Rogue,4,Cleric,1,Druid,2,Poison Needle Trap,Zombies,Skeletons,Zombies,,,,,,,,,1.75,4,3,0,Zombies,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,7,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
Undead Ziggurat of Limeneth,Rogue,5,Ranger,6,Mage,4,Ranger,6,Zombies,Skeletons,Cursed Altar,Skeletons,Cursed Altar,Skeletons,Ghosts,Zombies,Cursed Altar,Zombies,,,5.0,10,10,1,,0,0,0,2,12,6,1,4,4,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,3,0,0
Forgotten Temple of Azmar,Rogue,4,Ranger,3,Rogue,5,Druid,4,Ghosts,Boulder Trap,Lever Puzzle Room,Poison Needle Trap,Skeletons,Ghosts,Ghosts,Poison Needle Trap,,,,,4.5,8,5,0,Ghosts,0,0,0,1,3,3,0,0,0,0,0,0,1,4,4,2,9,5,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,2
