Dungeon Name,Adventurer 1 Class,Adventurer 1 Level,Adventurer 2 Class,Adventurer 2 Level,Adventurer 3 Class,Adventurer 3 Level,Adventurer 4 Class,Adventurer 4 Level,Encounter 1,Encounter 2,Encounter 3,Encounter 4,Encounter 5,Encounter 6,Encounter 7,Encounter 8,Encounter 9,Encounter 10,Encounter 11,Encounter 12,# Encounters,# Encounters Beaten,Victory?,Defeated By,# of Fighter Adventurers,Total Level of Fighter Adventurers,Max Level of Fighter Adventurers,# of Ranger Adventurers,Total Level of Ranger Adventurers,Max Level of Ranger Adventurers,# of Mage Adventurers,Total Level of Mage Adventurers,Max Level of Mage Adventurers,# of Cleric Adventurers,Total Level of Cleric Adventurers,Max Level of Cleric Adventurers,# of Druid Adventurers,Total Level of Druid Adventurers,Max Level of Druid Adventurers,# of Rogue Adventurers,Total Level of Rogue Adventurers,Max Level of Rogue Adventurers,# of Goblins Encounters,# of Goblin Chieftain Encounters,# of Wolves Encounters,# of Orcs Encounters,# of Orc Warlord Encounters,# of Orc Shaman Encounters,# of Skeletons Encounters,# of Zombies Encounters,# of Ghosts Encounters,# of Basilisk Encounters,# of Lich Encounters,# of Dragon Encounters,# of Boulder Trap Encounters,# of Lever Puzzle Room Encounters,# of Riddle Door Encounters,# of Cursed Altar Encounters,# of Snake Pit Encounters,# of Poison Needle Trap Encounters
Abandoned Dungeon of Azmar,Ranger,7,Druid,6,Fighter,6,Rogue,7,Snake Pit,Lich,Lich,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,8,2,0,Lich,1,6,6,1,7,7,0,0,0,0,0,0,1,6,6,1,7,7,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,1
Nightmare Den of Limeneth,Ranger,3,Druid,3,Cleric,5,Mage,3,Snake Pit,Orcs,Wolves,Cursed Altar,Dragon,,,,,,,,5,4,0,Dragon,0,0,0,1,3,3,1,3,3,1,5,5,1,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Undead Keep of Stonefell Peak,Druid,7,Mage,6,Fighter,6,Rogue,6,Skeletons,Skeletons,Skeletons,Ghosts,Zombies,Skeletons,Boulder Trap,Boulder Trap,Boulder Trap,Skeletons,Boulder Trap,Ghosts,12,12,1,,1,6,6,0,0,0,1,6,6,0,0,0,1,7,7,1,6,6,0,0,0,0,0,0,5,1,2,0,0,0,4,0,0,0,0,0
Forgotten Dungeon of Stormwind,Druid,5,Rogue,3,Mage,5,Rogue,4,Zombies,Poison Needle Trap,Boulder Trap,Cursed Altar,Cursed Altar,Skeletons,Poison Needle Trap,,,,,,7,6,0,Poison Needle Trap,0,0,0,0,0,0,1,5,5,0,0,0,1,5,5,2,7,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,2
Sunken Cave of Darkflight Pass,Ranger,4,Fighter,4,Fighter,4,Mage,3,Goblins,Goblins,Poison Needle Trap,Goblins,Dragon,,,,,,,,5,5,1,,2,8,4,1,4,4,1,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Forgotten Temple of Riverfell,Fighter,4,Druid,4,Mage,3,Rogue,3,Lever Puzzle Room,Goblins,Goblins,Boulder Trap,Lever Puzzle Room,Cursed Altar,Poison Needle Trap,,,,,,7,7,1,,1,4,4,0,0,0,1,3,3,0,0,0,1,4,4,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1
Old Den of Sintharion,Mage,4,Cleric,4,Ranger,5,Fighter,3,Riddle Door,Wolves,Wolves,Poison Needle Trap,Cursed Altar,Basilisk,,,,,,,6,6,1,,1,3,3,1,5,5,1,4,4,1,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
Infernal Cave of Almadris,Druid,6,Ranger,6,Rogue,6,Cleric,4,Snake Pit,Orcs,Cursed Altar,Orcs,Orcs,Boulder Trap,Dragon,,,,,,7,6,0,Dragon,0,0,0,1,6,6,0,0,0,1,4,4,1,6,6,1,6,6,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Abandoned Treasure of Azmar,Fighter,5,Mage,4,Cleric,3,Cleric,5,Skeletons,Cursed Altar,Snake Pit,Lever Puzzle Room,Cursed Altar,Snake Pit,Skeletons,Poison Needle Trap,,,,,8,8,1,,1,5,5,0,0,0,1,4,4,2,8,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,2,1
Undead Ziggurat of Stonefell Peak,Ranger,4,Druid,4,Fighter,3,Rogue,6,Skeletons,Ghosts,Boulder Trap,Skeletons,Skeletons,Boulder Trap,Skeletons,,,,,,7,7,1,,1,3,3,1,4,4,0,0,0,0,0,0,1,4,4,1,6,6,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0
Orc Keep of Limeneth,Fighter,1,Mage,1,Mage,1,Druid,2,Poison Needle Trap,Orcs,Orcs,Orcs,,,,,,,,,4,3,0,Orcs,1,1,1,0,0,0,2,2,1,0,0,0,1,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sunken Cave of Stonefell Peak,Ranger,4,Rogue,6,Cleric,5,Druid,5,Poison Needle Trap,Wolves,Wolves,Poison Needle Trap,Dragon,,,,,,,,5,4,0,Dragon,0,0,0,1,4,4,0,0,0,1,5,5,1,5,5,1,6,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Undead Mausoleum of Sintharion,Mage,3,Cleric,4,Fighter,3,Druid,4,Zombies,Boulder Trap,Zombies,Zombies,Ghosts,Boulder Trap,Skeletons,,,,,,7,7,1,,1,3,3,0,0,0,1,3,3,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,0,0,0,0,0
Night Goblin Fort of Khaz-Gorond,Cleric,3,Druid,2,Druid,3,Fighter,2,Goblins,Goblins,Poison Needle Trap,Goblins,Ghosts,Unknown,Unknown,,,,,,7,4,0,Ghosts,1,2,2,0,0,0,0,0,0,1,3,3,2,5,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Old Den of Cheliax,Cleric,5,Fighter,5,Rogue,5,Ranger,4,Skeletons,Boulder Trap,Poison Needle Trap,Zombies,Poison Needle Trap,Skeletons,Lich,,,,,,7,7,1,,1,5,5,1,4,4,0,0,0,1,5,5,0,0,0,1,5,5,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,2
Abandoned Treasure of Icemarch,Cleric,5,Mage,6,Druid,7,Druid,6,Riddle Door,Cursed Altar,Ghosts,Wolves,Poison Needle Trap,Boulder Trap,Ghosts,Wolves,Poison Needle Trap,,,,9,9,1,,0,0,0,0,0,0,1,6,6,1,5,5,2,13,7,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,1,0,2
Timeless Treasure of Cheliax,Druid,4,Mage,4,Rogue,6,Ranger,6,Poison Needle Trap,Dragon,Ghosts,Lever Puzzle Room,Skeletons,Riddle Door,,,,,,,6,6,1,,0,0,0,1,6,6,1,4,4,0,0,0,1,4,4,1,6,6,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
Timeless Dungeon of Almadris,Fighter,3,Rogue,3,Mage,3,Ranger,2,Boulder Trap,Riddle Door,Poison Needle Trap,Ghosts,,,,,,,,,4,4,1,,1,3,3,1,2,2,1,3,3,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
Sunken Lair of Almadris,Druid,2,Cleric,2,Ranger,3,Cleric,3,Orcs,Lever Puzzle Room,Lever Puzzle Room,Riddle Door,Basilisk,,,,,,,,5,4,0,Basilisk,0,0,0,1,3,3,0,0,0,2,5,3,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0
Undead Mausoleum of Lemarchand,Ranger,4,Mage,2,Fighter,4,Fighter,3,Cursed Altar,Cursed Altar,Ghosts,Ghosts,Zombies,Skeletons,Skeletons,,,,,,7,7,1,,2,7,4,1,4,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,2,0,0
Timeless Treasure of Khaz-Gorond,Rogue,3,Ranger,1,Cleric,1,Mage,1,Lever Puzzle Room,Zombies,Cursed Altar,,,,,,,,,,3,3,1,,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Forgotten Treasure of Khaz-Gorond,Cleric,3,Fighter,4,Mage,2,Druid,4,Boulder Trap,Ghosts,Riddle Door,Skeletons,Cursed Altar,Boulder Trap,,,,,,,6,6,1,,1,4,4,0,0,0,1,2,2,1,3,3,1,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0
Abandoned Temple of Calantha,Cleric,2,Ranger,3,Ranger,4,Mage,2,Poison Needle Trap,Poison Needle Trap,Basilisk,Zombies,Zombies,Cursed Altar,,,,,,,6,6,1,,0,0,0,2,7,4,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,2
Orc Warcamp of Lemarchand,Mage,5,Druid,6,Mage,7,Fighter,4,Orcs,Orcs,Cursed Altar,Orcs,Orcs,Cursed Altar,Cursed Altar,Orcs,Orcs,Unknown,,,10,8,0,Orcs,1,4,4,0,0,0,2,12,7,0,0,0,1,6,6,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,3,0,0
Undead City of Limeneth,Fighter,4,Mage,4,Mage,6,Rogue,7,Skeletons,Skeletons,Boulder Trap,Ghosts,Ghosts,Boulder Trap,Lich,,,,,,7,7,1,,1,4,4,0,0,0,2,10,6,0,0,0,0,0,0,1,7,7,0,0,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0
Forgotten Temple of Lakeshore,Ranger,3,Mage,5,Druid,4,Ranger,3,Lever Puzzle Room,Lever Puzzle Room,Skeletons,Riddle Door,Basilisk,Lever Puzzle Room,Ghosts,,,,,,7,7,1,,0,0,0,2,6,3,1,5,5,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,1,0,0,0
Goblin Tunnels of Riverfell,Rogue,1,Rogue,3,Druid,1,Druid,2,Snake Pit,Goblins,Goblins,Goblins,,,,,,,,,4,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Timeless Dungeon of Calantha,Ranger,5,Druid,4,Rogue,6,Fighter,5,Zombies,Ghosts,Zombies,Snake Pit,Lever Puzzle Room,Snake Pit,Cursed Altar,Zombies,Unknown,Unknown,,,10,7,0,Zombies,1,5,5,1,5,5,0,0,0,0,0,0,1,4,4,1,6,6,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,3,2,0
Forgotten Treasure of Limeneth,Fighter,2,Druid,3,Mage,4,Druid,3,Lever Puzzle Room,Snake Pit,Lever Puzzle Room,Zombies,Poison Needle Trap,Unknown,Unknown,,,,,,7,4,0,Poison Needle Trap,1,2,2,0,0,0,1,4,4,0,0,0,2,6,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,1,1
Infernal Lair of Limeneth,Cleric,2,Rogue,3,Ranger,2,Druid,4,Skeletons,Lever Puzzle Room,Snake Pit,Lich,,,,,,,,,4,4,1,,0,0,0,1,2,2,0,0,0,1,2,2,1,4,4,1,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
Undead Pyramid of Darkflight Pass,Ranger,4,Cleric,2,Fighter,3,Druid,5,Zombies,Zombies,Skeletons,Poison Needle Trap,Poison Needle Trap,Skeletons,Ghosts,,,,,,7,6,0,Ghosts,1,3,3,1,4,4,0,0,0,1,2,2,1,5,5,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,2
Ancient Lair of Galoron,Mage,5,Ranger,5,Fighter,5,Fighter,6,Zombies,Cursed Altar,Skeletons,Lever Puzzle Room,Skeletons,Poison Needle Trap,Lich,,,,,,7,7,1,,2,11,6,1,5,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,1,0,1
Lost Dungeon of Lemarchand,Mage,4,Cleric,4,Mage,3,Druid,3,Riddle Door,Snake Pit,Skeletons,Goblins,Riddle Door,Cursed Altar,,,,,,,6,6,1,,0,0,0,0,0,0,2,7,4,1,4,4,1,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0
Timeless Treasure of Darkflight Pass,Ranger,4,Fighter,2,Fighter,4,Rogue,4,Riddle Door,Skeletons,Riddle Door,Riddle Door,Lever Puzzle Room,Unknown,Unknown,,,,,,7,4,0,Lever Puzzle Room,2,6,4,1,4,4,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,2
Forgotten Temple of Almadris,Rogue,6,Rogue,5,Mage,3,Ranger,4,Snake Pit,Ghosts,Snake Pit,Boulder Trap,Wolves,Lever Puzzle Room,Poison Needle Trap,,,,,,7,7,1,,0,0,0,1,4,4,1,3,3,0,0,0,0,0,0,2,11,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2,1
Dread Den of Calantha,Mage,3,Druid,3,Ranger,5,Cleric,4,Goblins,Snake Pit,Goblins,Boulder Trap,Snake Pit,Dragon,,,,,,,6,5,0,Dragon,0,0,0,1,5,5,1,3,3,1,4,4,1,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
Night Goblin Warrens of Galoron,Ranger,1,Rogue,3,Fighter,2,Ranger,1,Goblins,Boulder Trap,Goblins,Goblin Chieftain,,,,,,,,,4,4,1,,1,2,2,2,2,1,0,0,0,0,0,0,0,0,0,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Orc Tower of Lakeshore,Cleric,2,Ranger,3,Ranger,1,Mage,3,Poison Needle Trap,Orcs,Wolves,Orc Shaman,,,,,,,,,4,3,0,Orc Shaman,0,0,0,2,4,3,1,3,3,1,2,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Forgotten Treasure of Khaz-Gorond,Cleric,4,Cleric,4,Fighter,3,Fighter,4,Goblins,Wolves,Poison Needle Trap,Boulder Trap,Ghosts,Poison Needle Trap,,,,,,,6,6,1,,2,7,4,0,0,0,0,0,0,2,8,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
Goblin Town of Icemarch,Ranger,3,Fighter,5,Ranger,4,Cleric,3,Goblins,Boulder Trap,Boulder Trap,Goblins,Goblins,Goblins,Goblins,Boulder Trap,Goblin Chieftain,,,,9,9,1,,1,5,5,2,7,4,0,0,0,1,3,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Orc Warcamp of Stormwind,Druid,4,Mage,2,Ranger,3,Mage,3,Wolves,Poison Needle Trap,Orcs,Orc Warlord,,,,,,,,,4,3,0,Orc Warlord,0,0,0,1,3,3,2,5,3,0,0,0,1,4,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Night Goblin Fort of Almadris,Rogue,4,Rogue,4,Ranger,4,Mage,4,Goblins,Boulder Trap,Goblins,Goblins,Goblins,Ghosts,Boulder Trap,Boulder Trap,Goblin Chieftain,,,,9,9,1,,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,2,8,4,4,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
Timeless Temple of Almadris,Rogue,5,Rogue,3,Druid,3,Cleric,4,Lever Puzzle Room,Riddle Door,Snake Pit,Goblins,Goblins,Goblins,Unknown,Unknown,,,,,8,5,0,Goblins,0,0,0,0,0,0,0,0,0,1,4,4,1,3,3,2,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0
Undead City of Darkflight Pass,Cleric,3,Rogue,5,Mage,3,Cleric,3,Ghosts,Skeletons,Zombies,Poison Needle Trap,Zombies,Poison Needle Trap,Zombies,,,,,,7,7,1,,0,0,0,0,0,0,1,3,3,2,6,3,0,0,0,1,5,5,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2
Orc Warcamp of Galoron,Ranger,4,Cleric,3,Fighter,1,Druid,2,Orcs,Orcs,Snake Pit,Orc Warlord,,,,,,,,,4,4,1,,1,1,1,1,4,4,0,0,0,1,3,3,1,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Forgotten Temple of Stormwind,Druid,2,Fighter,4,Mage,3,Ranger,4,Cursed Altar,Zombies,Ghosts,Ghosts,Snake Pit,Cursed Altar,,,,,,,6,6,1,,1,4,4,1,4,4,1,3,3,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0
Forgotten Dungeon of Calantha,Druid,5,Fighter,4,Rogue,7,Cleric,5,Zombies,Ghosts,Riddle Door,Wolves,Zombies,Snake Pit,Lever Puzzle Room,Boulder Trap,,,,,8,8,1,,1,4,4,0,0,0,0,0,0,1,5,5,1,5,5,1,7,7,0,0,1,0,0,0,0,2,1,0,0,0,1,1,1,0,1,0
Orc Cave of Khaz-Gorond,Rogue,4,Rogue,4,Fighter,3,Rogue,3,Orcs,Poison Needle Trap,Poison Needle Trap,Orcs,Wolves,Orc Shaman,,,,,,,6,5,0,Orc Shaman,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Abandoned Dungeon of Riverfell,Rogue,5,Fighter,4,Mage,4,Cleric,5,Lich,Zombies,Riddle Door,Lever Puzzle Room,Cursed Altar,Ghosts,Snake Pit,,,,,,7,7,1,,1,4,4,0,0,0,1,4,4,1,5,5,0,0,0,1,5,5,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0
Abandoned Temple of Riverfell,Cleric,2,Mage,3,Mage,3,Fighter,2,Boulder Trap,Wolves,Riddle Door,Lever Puzzle Room,Skeletons,Wolves,,,,,,,6,6,1,,1,2,2,0,0,0,2,6,3,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
Old Lair of Stonefell Peak,Fighter,3,Cleric,3,Rogue,5,Druid,4,Boulder Trap,Riddle Door,Skeletons,Lever Puzzle Room,Lich,,,,,,,,5,5,1,,1,3,3,0,0,0,0,0,0,1,3,3,1,4,4,1,5,5,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
Abandoned Treasure of Calantha,Cleric,3,Cleric,5,Fighter,4,Druid,6,Zombies,Lever Puzzle Room,Boulder Trap,Ghosts,Zombies,Lever Puzzle Room,Ghosts,Lever Puzzle Room,,,,,8,8,1,,1,4,4,0,0,0,0,0,0,2,8,5,1,6,6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,3,0,0,0,0
Orc Camp of Stormwind,Ranger,5,Ranger,5,Druid,4,Rogue,4,Orcs,Snake Pit,Wolves,Snake Pit,Wolves,Orcs,Orc Shaman,,,,,,7,7,1,,0,0,0,2,10,5,0,0,0,0,0,0,1,4,4,1,4,4,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Old Maw of Limeneth,Rogue,3,Mage,5,Druid,2,Rogue,3,Riddle Door,Skeletons,Dragon,,,,,,,,,,3,2,0,Dragon,0,0,0,0,0,0,1,5,5,0,0,0,1,2,2,2,6,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Lost Treasure of Cheliax,Mage,6,Cleric,6,Cleric,7,Druid,7,Snake Pit,Lever Puzzle Room,Basilisk,Lich,Wolves,Ghosts,Lever Puzzle Room,Boulder Trap,Poison Needle Trap,,,,9,9,1,,0,0,0,0,0,0,1,6,6,2,13,7,1,7,7,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,2,0,0,1,1
Infernal Maw of Khaz-Gorond,Fighter,5,Rogue,5,Fighter,4,Fighter,5,Lever Puzzle Room,Wolves,Wolves,Wolves,Dragon,,,,,,,,5,4,0,Dragon,3,14,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Timeless Dungeon of Galoron,Rogue,4,Fighter,4,Fighter,3,Rogue,3,Goblins,Cursed Altar,Snake Pit,Wolves,Cursed Altar,Goblins,,,,,,,6,5,0,Goblins,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Timeless Treasure of Darkflight Pass,Cleric,7,Cleric,5,Cleric,5,Fighter,5,Riddle Door,Basilisk,Poison Needle Trap,Lever Puzzle Room,Skeletons,Zombies,Basilisk,Snake Pit,Unknown,,,,9,7,0,Snake Pit,1,5,5,0,0,0,0,0,0,3,17,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,0,1,1
Orc Fort of Darkflight Pass,Fighter,2,Ranger,4,Mage,4,Druid,4,Orcs,Wolves,Poison Needle Trap,Orcs,Poison Needle Trap,Orcs,Orcs,,,,,,7,7,1,,1,2,2,1,4,4,1,4,4,0,0,0,1,4,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Goblin Tower of Cheliax,Cleric,3,Rogue,4,Fighter,5,Cleric,3,Goblins,Poison Needle Trap,Goblins,Goblins,Goblins,Goblins,Unknown,Unknown,Unknown,Unknown,,,10,5,0,Goblins,1,5,5,0,0,0,0,0,0,2,6,3,0,0,0,1,4,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Old Cave of Stonefell Peak,Ranger,3,Cleric,3,Rogue,5,Mage,3,Snake Pit,Cursed Altar,Boulder Trap,Wolves,Basilisk,,,,,,,,5,5,1,,0,0,0,1,3,3,1,3,3,1,3,3,0,0,0,1,5,5,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
Undead Mausoleum of Limeneth,Druid,5,Ranger,5,Cleric,4,Mage,3,Poison Needle Trap,Zombies,Poison Needle Trap,Skeletons,Ghosts,Zombies,Lich,,,,,,7,6,0,Lich,0,0,0,1,5,5,1,3,3,1,4,4,1,5,5,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,2
Undead Mausoleum of Stonefell Peak,Druid,4,Fighter,4,Cleric,4,Ranger,4,Boulder Trap,Skeletons,Zombies,Zombies,Boulder Trap,Ghosts,Ghosts,,,,,,7,7,1,,1,4,4,1,4,4,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0
Forgotten Treasure of Khaz-Gorond,Cleric,2,Fighter,3,Mage,4,Rogue,4,Zombies,Cursed Altar,Boulder Trap,Ghosts,Poison Needle Trap,Goblins,Lever Puzzle Room,,,,,,7,6,0,Lever Puzzle Room,1,3,3,0,0,0,1,4,4,1,2,2,0,0,0,1,4,4,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1
Forgotten Treasure of Almadris,Fighter,5,Fighter,5,Mage,6,Ranger,6,Zombies,Ghosts,Skeletons,Cursed Altar,Poison Needle Trap,Snake Pit,Dragon,,,,,,7,6,0,Dragon,2,10,5,1,6,6,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1
Undead Pyramid of Azmar,Mage,5,Ranger,5,Druid,3,Rogue,4,Skeletons,Ghosts,Skeletons,Zombies,Boulder Trap,Boulder Trap,Ghosts,Boulder Trap,Unknown,,,,9,7,0,Boulder Trap,0,0,0,1,5,5,1,5,5,0,0,0,1,3,3,1,4,4,0,0,0,0,0,0,3,1,2,0,0,0,3,0,0,0,0,0
Timeless Treasure of Cheliax,Druid,2,Fighter,2,Mage,2,Mage,3,Poison Needle Trap,Boulder Trap,Boulder Trap,Snake Pit,Unknown,,,,,,,,5,3,0,Snake Pit,1,2,2,0,0,0,2,5,3,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1
Sunken Lair of Stormwind,Fighter,3,Druid,2,Cleric,2,Rogue,4,Goblins,Riddle Door,Snake Pit,Basilisk,,,,,,,,,4,3,0,Basilisk,1,3,3,0,0,0,0,0,0,1,2,2,1,2,2,1,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Old Maw of Lakeshore,Druid,6,Rogue,7,Cleric,6,Ranger,6,Wolves,Snake Pit,Boulder Trap,Wolves,Wolves,Dragon,,,,,,,6,6,1,,0,0,0,1,6,6,0,0,0,1,6,6,1,6,6,1,7,7,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Undead City of Riverfell,Cleric,4,Ranger,5,Druid,4,Fighter,6,Skeletons,Cursed Altar,Zombies,Ghosts,Zombies,Skeletons,Skeletons,Cursed Altar,Cursed Altar,Ghosts,,,10,10,1,,1,6,6,1,5,5,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,3,0,0
Abandoned Temple of Almadris,Druid,5,Mage,4,Druid,3,Ranger,3,Riddle Door,Lever Puzzle Room,Poison Needle Trap,Riddle Door,Skeletons,Cursed Altar,Ghosts,Snake Pit,,,,,8,8,1,,0,0,0,1,3,3,1,4,4,0,0,0,2,8,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,1,1
Night Goblin Hole of Stonefell Peak,Fighter,3,Fighter,4,Cleric,5,Druid,3,Snake Pit,Snake Pit,Ghosts,Ghosts,Goblins,Goblins,Snake Pit,Unknown,Unknown,,,,9,6,0,Snake Pit,2,7,4,0,0,0,0,0,0,1,5,5,1,3,3,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
Goblin Tunnels of Icemarch,Rogue,1,Ranger,2,Mage,2,Druid,1,Goblins,Snake Pit,Goblins,,,,,,,,,,3,3,1,,0,0,0,1,2,2,1,2,2,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mountain Goblin Warrens of Icemarch,Rogue,3,Mage,3,Ranger,4,Ranger,4,Wolves,Goblins,Snake Pit,Snake Pit,Goblins,Goblins,Unknown,,,,,,7,5,0,Goblins,0,0,0,2,8,4,1,3,3,0,0,0,0,0,0,1,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Lost Temple of Azmar,Mage,3,Cleric,4,Druid,3,Ranger,2,Cursed Altar,Riddle Door,Zombies,Skeletons,Skeletons,Zombies,,,,,,,6,6,1,,0,0,0,1,2,2,1,3,3,1,4,4,1,3,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0
Mountain Goblin Cave of Stormwind,Ranger,2,Rogue,4,Druid,3,Mage,2,Goblins,Boulder Trap,Goblins,Goblin Chieftain,,,,,,,,,4,4,1,,0,0,0,1,2,2,1,2,2,0,0,0,1,3,3,1,4,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nightmare Tomb of Calantha,Cleric,3,Fighter,2,Ranger,2,Rogue,4,Cursed Altar,Zombies,Lich,,,,,,,,,,3,3,1,,1,2,2,1,2,2,0,0,0,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
